timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
4057535,0,65535,58,149,95,80,238,187,140,130,44,77,119,173,188,89,82,96
4057563,0,65535,59,150,95,79,240,186,139,130,47,74,118,173,190,89,81,98
4057591,0,65535,59,150,95,80,238,186,139,132,46,74,120,174,190,92,84,95
4057619,0,65535,59,149,97,82,237,190,141,130,46,75,117,172,190,89,82,97
4057647,0,65535,60,149,96,81,238,187,140,132,48,75,116,174,190,91,80,97
4057676,0,65535,60,149,94,80,238,189,139,129,48,75,120,172,191,91,81,96
4057704,0,65535,58,151,94,80,235,189,140,129,48,75,119,173,192,90,82,101
4057732,0,65535,58,149,95,83,234,189,139,128,46,74,120,174,192,89,83,100
4057760,0,65535,59,151,93,80,235,189,141,131,49,76,123,175,194,91,84,95
4057788,0,65535,59,150,94,79,236,187,141,131,49,76,122,174,193,92,84,99
4057816,0,65535,59,148,94,82,235,189,139,133,44,78,122,173,190,90,83,98
4057844,0,65535,59,149,96,78,235,190,140,131,50,76,121,175,193,91,84,99
4057872,0,65535,58,149,96,81,232,190,141,135,50,77,119,176,191,91,84,97
4057900,0,65535,60,148,94,81,230,188,137,133,50,76,123,176,194,91,85,99
4057928,0,65535,58,148,91,80,233,189,138,134,50,76,122,176,196,93,86,99
4057956,0,65535,61,149,95,80,233,186,138,132,49,76,125,176,197,92,85,103
4057984,0,65535,60,148,94,79,232,189,138,132,50,78,123,178,198,91,85,106
4058012,0,65535,58,148,93,78,235,188,138,135,51,78,126,178,198,91,87,102
4058041,0,65535,61,146,94,80,235,190,139,142,53,81,128,181,202,93,87,103
4058069,0,65535,60,147,94,78,237,189,139,138,54,81,127,183,202,92,90,103
4058097,0,65535,63,147,97,81,236,191,139,141,54,81,124,179,201,89,91,101
4058125,0,65535,60,150,94,79,236,194,139,142,53,81,126,184,201,91,88,101
4058153,0,65535,62,149,98,81,238,196,141,142,55,82,127,182,202,90,88,101
4058181,0,65535,62,151,95,81,239,196,139,144,54,81,124,182,197,90,86,101
4058209,0,65535,62,152,94,79,235,198,140,145,54,81,125,181,197,91,87,98
4058237,0,65038,63,151,95,82,237,195,140,145,54,82,124,182,198,90,86,101
4058265,0,65420,64,149,98,78,234,195,140,145,53,79,124,178,197,93,88,99
4058293,0,65535,61,152,98,80,234,192,140,143,52,80,124,178,197,89,87,103
4058321,0,65535,64,154,97,79,233,194,137,141,52,80,122,178,195,91,88,101
4058349,0,65535,61,150,96,81,233,192,141,142,53,80,124,181,196,91,85,101
4058378,0,65535,61,152,98,79,229,191,141,137,52,81,124,175,195,88,87,99
