timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
5361677,1,64783,91,219,136,112,324,277,222,208,85,113,183,258,284,118,118,136
5361705,0,64840,91,221,136,112,321,274,219,205,84,114,184,256,283,116,119,136
5361733,0,64851,93,219,139,110,322,275,222,204,84,113,182,254,281,115,117,135
5361762,0,64868,92,220,137,111,326,275,222,206,84,113,184,258,282,118,119,137
5361790,0,64878,89,220,136,113,322,276,222,208,83,112,182,259,282,117,119,139
5361818,0,64884,90,222,137,112,327,277,223,207,85,115,186,258,286,119,119,138
5361846,0,64881,93,223,138,114,330,279,224,209,84,116,187,259,287,118,119,140
5361874,0,64891,94,224,141,116,329,280,227,212,85,117,188,265,289,118,120,139
5361902,0,64882,92,227,140,114,333,280,225,210,84,116,191,264,291,118,120,142
5361930,0,64882,94,226,140,116,333,284,226,212,87,115,189,265,292,120,123,140
5361958,0,64864,92,219,140,110,320,272,220,207,84,115,182,255,280,116,118,136
5361986,0,64870,88,220,137,112,323,276,221,207,85,112,183,255,282,116,118,137
5362014,0,64868,89,221,137,113,325,276,221,205,87,112,181,256,282,117,118,137
5362042,0,64830,93,222,139,115,322,274,220,207,84,111,181,257,283,115,118,137
5362070,0,64785,90,222,139,110,321,273,218,202,82,114,181,256,283,117,120,136
5362099,0,64769,91,220,138,111,324,275,221,206,80,112,182,255,281,118,118,137
5362127,0,64749,90,222,134,109,321,274,218,207,84,113,182,256,281,116,118,139
5362155,0,64707,90,222,136,112,323,274,219,207,83,112,183,256,282,119,118,138
5362183,0,64679,91,223,137,111,321,276,221,207,84,113,182,256,282,118,119,136
5362211,0,64705,89,222,138,112,325,277,222,208,85,114,184,257,283,117,119,140
5362239,0,64746,91,224,140,113,323,276,220,207,85,112,185,257,287,116,122,139
5362267,0,64705,92,224,139,113,327,278,224,210,85,113,188,260,287,119,120,139
5362295,0,64633,94,224,140,115,331,280,228,211,86,115,189,263,288,118,119,141
5362323,0,64677,93,224,139,114,331,280,227,211,86,114,188,264,289,117,122,139
5362351,0,64804,94,224,138,117,331,280,226,209,87,114,191,262,291,119,120,136
5362379,0,65084,89,225,137,110,321,271,219,203,82,114,180,254,281,115,118,136
5362407,0,65200,89,221,135,111,318,270,219,203,82,111,180,253,279,118,116,137
5362435,0,65059,87,221,137,112,319,271,219,204,81,110,181,252,282,115,117,136
5362464,0,64977,86,222,135,111,322,272,217,200,81,113,182,254,283,115,117,134
5362491,0,65139,89,220,135,109,320,271,218,202,82,112,180,252,280,116,117,137
5362520,0,65360,89,221,135,111,320,269,217,203,79,109,180,254,281,117,116,135
5362548,0,65439,90,220,136,110,323,270,218,202,82,109,182,250,282,115,118,136
5362576,0,65535,89,217,135,110,317,270,218,201,81,110,178,253,284,118,115,131
5362604,0,65535,89,220,134,110,322,270,219,201,80,110,179,253,281,115,116,136
5362632,0,65535,89,222,135,110,324,270,220,203,80,110,182,254,283,119,118,136
5362660,0,65535,89,219,135,113,325,270,220,201,80,110,182,256,283,121,118,135
5362688,0,65535,92,222,137,113,329,271,222,204,80,110,185,258,287,120,118,138
5362716,0,65535,90,222,136,112,332,274,224,201,80,110,185,259,287,123,118,137
5362744,0,65535,91,224,137,114,333,273,225,203,80,111,185,261,287,120,118,141
5362772,0,65535,89,223,138,112,334,271,220,197,81,110,185,263,293,121,117,136
5362800,0,65535,85,220,133,107,322,261,218,196,77,108,179,254,282,120,115,136
5362829,0,65535,86,217,132,108,324,263,220,194,75,108,181,256,284,121,118,136
5362857,0,65535,85,215,137,109,326,262,217,193,78,106,182,255,283,121,116,136
5362885,0,65535,84,219,131,110,324,261,197,193,76,106,181,256,286,120,117,137
5362913,0,65535,85,218,133,109,328,260,196,194,75,107,182,258,286,119,117,137
5362941,0,65535,85,219,132,107,327,261,201,191,75,105,183,257,289,121,118,140
5362969,0,65535,87,218,132,109,328,260,201,192,76,107,184,258,289,121,118,140
5362997,1,65535,86,218,134,112,332,260,203,191,77,106,185,261,291,121,119,138
5363025,0,65535,86,219,132,115,333,262,201,191,77,105,184,261,288,120,119,140
5363053,0,65535,86,219,132,114,337,261,207,191,78,108,186,262,292,121,120,139
5363081,0,65535,87,220,136,115,339,264,208,192,78,105,189,267,291,121,120,138
5363109,1,65535,85,222,136,113,346,262,230,193,79,107,189,269,296,121,121,140
5363137,1,65535,86,222,134,116,348,263,235,196,81,109,194,269,295,120,123,139
5363166,0,65535,86,224,135,117,351,263,241,193,80,108,194,273,297,122,121,141
5363194,0,65535,84,221,135,117,344,258,213,188,81,106,190,264,291,120,117,141
5363222,1,65535,85,223,134,117,344,257,213,187,78,105,186,262,291,119,118,139
5363250,0,65535,84,219,134,118,345,259,214,187,75,104,186,265,289,120,117,140
5363278,0,65535,84,222,137,120,343,262,212,189,78,104,189,261,289,119,119,138
5363306,0,65535,85,221,137,117,344,261,215,186,75,106,187,263,292,119,118,141
5363334,0,65535,85,224,135,118,344,261,217,186,76,105,188,263,289,120,118,138
5363362,0,65535,82,224,134,116,348,261,217,188,80,106,185,263,293,120,118,135
5363390,0,65535,86,221,138,119,346,263,219,188,79,104,186,265,292,120,119,139
5363418,0,65535,84,224,137,118,343,262,214,188,77,102,182,263,290,119,119,137
5363446,0,65535,86,222,136,122,349,259,217,189,78,105,184,265,291,119,118,139
5363474,0,65535,85,227,140,119,351,264,218,189,77,104,186,268,293,121,119,139
5363503,0,65535,87,227,138,120,351,264,220,191,77,107,187,269,297,120,121,141
5363530,1,65535,88,227,140,121,353,269,215,189,78,104,188,270,294,119,118,138
5363559,0,65535,88,228,139,122,351,266,215,191,79,106,188,269,297,121,119,140
5363587,0,65535,87,226,140,123,346,259,211,189,80,105,188,264,288,120,117,140
5363615,0,65535,83,225,136,120,343,257,209,188,77,104,183,262,288,122,119,136
5363643,0,65535,82,225,135,121,343,257,213,189,77,104,184,263,289,119,117,136
5363671,0,65535,84,226,137,118,342,258,207,186,77,103,182,261,288,121,119,138
5363699,1,65535,86,223,135,115,346,256,212,186,76,105,184,263,286,121,117,137
5363727,1,65535,82,223,139,120,347,258,208,189,77,104,183,263,284,119,118,137
5363755,0,65535,82,222,136,120,343,256,230,188,77,103,181,264,286,120,118,136
5363783,0,65535,83,220,135,119,345,256,207,188,77,103,181,261,286,123,117,137
5363811,0,65535,85,221,137,120,347,257,208,188,76,103,183,265,288,121,117,138
5363839,0,65535,83,222,137,120,347,258,207,189,79,105,181,265,288,120,118,138
5363868,0,65535,84,223,135,121,351,258,210,192,75,103,182,268,292,119,117,138
5363896,1,65535,84,222,137,124,351,261,209,191,79,105,184,270,293,120,118,140
5363924,0,65535,86,224,137,123,353,262,212,193,80,105,187,269,293,120,118,141
5363952,1,65535,84,225,139,123,357,263,210,193,79,105,188,271,294,121,120,140
5363980,0,65535,84,227,138,124,360,263,208,189,80,107,191,269,292,119,118,137
5364008,0,65535,82,219,135,122,348,257,206,188,79,103,180,263,285,117,116,136
5364036,1,65535,85,220,136,121,346,256,208,187,77,102,181,262,285,119,117,135
5364064,0,65535,84,221,131,116,346,259,205,190,78,105,182,262,284,119,117,136
5364092,1,65535,83,220,132,123,345,257,204,189,78,102,182,262,284,118,118,135
5364120,0,65535,83,221,133,119,346,257,202,188,78,103,181,263,287,118,119,137
5364148,1,65535,79,218,134,117,345,259,206,186,79,100,183,263,281,120,118,136
5364176,1,65535,83,221,134,119,343,259,203,189,78,104,181,263,285,121,117,137
5364204,1,65535,81,219,132,117,343,258,202,187,78,105,180,256,279,117,118,137
5364232,1,65535,85,222,132,117,344,262,205,189,79,105,181,260,285,120,118,138
5364261,1,65535,84,222,132,118,347,263,206,191,79,106,181,263,287,121,120,138
5364289,1,65535,85,222,133,117,351,260,209,192,80,105,183,264,290,122,119,138
5364317,0,65535,84,224,136,118,351,265,207,191,80,108,184,263,289,119,120,141
5364345,1,65535,86,223,138,119,354,264,209,194,80,107,187,269,290,120,120,142
5364373,1,65535,86,221,138,121,353,264,213,194,82,108,187,268,291,120,121,142
5364401,0,65535,86,224,136,121,353,267,208,190,81,108,189,269,292,121,119,140
5364429,0,65535,82,219,132,117,339,259,204,189,79,100,180,256,282,119,120,136
5364457,1,65535,83,221,132,117,342,260,204,191,79,105,181,261,282,118,118,136
5364485,1,65535,84,218,133,115,339,259,204,189,79,103,180,261,281,120,121,138
5364513,1,65535,85,219,135,116,338,256,205,188,80,105,183,257,283,119,119,139
5364541,1,65535,85,219,133,115,337,255,203,193,79,104,180,257,281,119,118,136
5364570,0,65535,84,218,134,115,335,257,204,190,80,104,177,257,283,119,119,137
5364597,1,65535,85,219,131,115,339,254,204,189,79,106,180,259,281,118,118,136
5364626,1,65535,84,219,132,116,336,257,205,193,79,105,184,258,281,119,120,140
5364654,0,65535,85,217,131,113,340,258,206,193,81,106,181,259,282,117,119,137
5364682,1,65535,83,219,135,115,338,260,204,194,80,107,184,263,284,119,119,139
5364710,1,65535,87,220,134,118,343,261,209,191,80,108,186,263,288,122,120,136
5364738,1,65535,84,220,135,121,347,263,207,197,79,106,186,265,288,122,122,139
5364766,1,65535,86,223,135,119,344,264,208,196,82,106,187,265,291,119,121,139
5364794,1,65535,85,222,135,120,349,266,211,200,80,110,189,269,292,120,122,142
5364822,1,65535,85,221,140,120,349,265,214,198,82,111,189,272,296,122,121,142
5364850,1,65535,89,224,134,117,335,260,203,190,81,106,186,260,283,120,117,139
5364878,1,65535,83,218,132,116,334,257,205,190,79,106,184,258,284,119,118,136
5364906,1,65535,84,219,134,114,335,258,205,191,79,107,183,257,284,118,119,137
5364935,1,65535,85,216,134,114,332,260,203,190,78,104,181,257,281,119,119,136
5364963,0,65535,86,220,133,117,338,262,205,192,79,106,185,258,282,116,117,136
5364991,1,65535,85,219,134,117,335,261,208,191,79,108,184,262,288,119,120,137
5365019,1,65535,85,221,132,119,337,265,206,195,78,107,185,261,287,119,118,138
5365047,1,65535,87,224,138,119,346,264,209,195,78,108,186,262,289,120,121,137
5365075,1,65535,87,222,136,119,345,266,213,194,81,109,188,270,294,118,119,139
5365103,1,65535,87,225,140,121,347,267,210,196,81,110,190,270,293,120,123,139
5365131,1,65535,87,223,135,121,351,268,217,197,81,110,191,274,297,121,122,140
5365159,1,65535,90,226,136,123,353,268,214,197,79,110,195,274,297,120,123,137
5365187,1,65535,89,229,136,122,349,262,232,190,82,111,195,274,292,118,118,136
5365215,1,65535,86,220,134,117,339,260,229,192,81,103,184,263,288,117,119,137
5365243,2,65535,83,224,135,118,337,260,207,190,80,106,184,262,286,119,119,137
5365271,0,65535,84,222,135,118,341,259,208,190,78,105,183,262,289,118,118,136
5365300,1,65535,85,221,135,119,340,260,207,191,79,105,183,261,286,115,117,136
5365328,1,65535,83,221,135,115,341,263,208,193,80,103,183,264,289,120,117,137
5365356,1,65535,84,223,135,119,341,258,207,191,78,105,185,262,287,119,118,136
