timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
716546,3,65535,60,148,99,88,251,191,145,138,46,80,125,176,186,76,80,88
716574,2,65535,62,146,95,86,251,188,145,141,47,81,125,174,184,74,80,90
716602,2,65535,63,146,96,84,248,189,144,139,46,82,122,172,184,75,80,87
716630,2,65535,64,144,97,87,240,190,139,138,48,81,122,170,182,74,81,89
716659,2,65535,62,144,92,81,228,189,135,146,47,80,122,170,182,74,83,90
716687,6,65535,63,143,98,79,229,197,135,152,50,86,121,167,183,72,82,91
716715,10,65535,66,144,96,79,222,194,133,145,51,84,122,169,184,75,80,90
716743,9,65535,62,143,98,80,225,190,133,146,49,85,121,170,184,74,81,89
716771,8,65535,65,143,98,82,227,193,134,147,49,84,125,171,187,74,83,90
716799,8,65535,65,144,97,80,229,195,135,149,49,85,127,173,187,74,83,89
716827,9,65535,63,142,97,80,222,191,135,149,49,85,124,171,190,74,82,90
716855,8,65535,61,145,96,80,222,192,135,148,50,85,126,174,190,77,82,90
716883,9,65535,65,145,96,79,224,194,133,147,51,85,125,171,186,77,83,91
716911,10,65535,64,144,96,80,219,194,133,147,47,82,126,169,185,74,82,91
716939,8,65535,64,143,98,77,222,194,133,148,48,86,124,170,186,75,81,91
716968,8,65535,65,143,96,77,218,195,132,146,49,84,124,167,185,75,82,91
716996,6,65535,64,144,97,78,220,191,131,146,49,84,123,170,185,76,82,91
717024,6,65535,65,144,96,77,221,194,131,145,47,84,121,169,182,73,82,91
717052,7,65535,64,144,95,77,224,194,133,149,49,85,126,173,184,74,82,92
717080,7,65535,62,146,98,79,222,193,136,147,48,84,125,169,183,75,82,89
717108,6,65535,65,145,96,78,222,192,134,147,47,85,122,168,185,74,83,89
717136,7,65535,66,148,96,79,221,192,134,148,49,87,123,167,186,74,83,91
717164,8,65535,65,147,97,78,223,193,134,148,49,84,126,169,185,75,83,91
717192,8,65535,61,144,95,79,228,194,133,150,49,83,125,170,186,76,83,90
717220,8,65535,63,145,97,81,230,193,136,146,50,84,125,171,186,75,82,89
717249,8,65535,64,147,95,77,224,193,134,148,49,85,125,170,187,76,83,91
717277,10,65535,65,144,97,78,224,195,136,149,48,86,125,171,187,75,83,90
717305,9,65535,67,148,100,77,219,196,135,146,49,84,124,172,187,73,83,92
717333,8,65535,65,145,97,77,223,194,136,146,50,85,126,173,187,76,81,91
717361,8,65535,61,143,97,77,223,192,134,148,49,86,125,171,188,76,84,94
717389,8,65535,62,144,93,77,228,190,133,148,49,84,127,170,186,73,83,91
717417,7,65535,65,148,98,83,226,194,134,146,48,85,126,171,184,73,84,91
717445,9,65535,65,146,97,80,227,192,135,150,50,84,125,173,187,74,83,89
717473,8,65535,62,147,97,82,225,195,135,149,51,85,124,173,187,72,83,92
717501,8,65535,66,144,100,80,228,194,133,148,50,85,126,169,187,75,83,91
717529,8,65535,65,149,98,79,226,197,139,149,50,83,125,172,183,74,83,91
717557,9,65535,64,147,97,78,227,192,134,149,50,85,125,175,185,73,82,90
717586,9,65535,65,145,96,79,226,194,133,146,49,84,127,174,188,74,83,91
717614,9,65535,64,144,98,81,227,195,137,149,51,86,127,174,191,76,83,90
717642,8,65535,63,143,96,81,229,195,135,146,49,86,127,173,186,76,85,93
717670,8,65535,64,146,95,79,224,194,135,150,49,85,125,168,185,74,85,91
717698,8,65535,65,145,97,80,225,195,131,147,48,85,126,170,186,73,81,91
717726,8,65535,64,148,97,80,227,197,134,148,49,84,125,169,188,75,81,91
717754,8,65535,63,149,97,79,224,198,136,149,49,84,124,171,185,76,83,91
717782,7,65535,64,147,97,80,223,197,136,150,49,86,124,170,184,74,83,91
717810,7,65535,66,148,97,80,229,196,136,148,48,85,125,174,184,73,82,89
717838,8,65535,63,145,98,82,228,194,133,147,49,84,128,174,188,76,83,90
717867,7,65535,64,146,98,80,226,195,134,148,51,85,126,172,187,74,83,91
717895,7,65535,64,149,98,79,227,197,136,149,51,84,128,173,189,76,82,93
717923,7,65535,63,147,99,79,228,198,135,143,48,83,126,174,187,76,81,91
717951,6,65535,64,147,99,82,224,194,134,147,48,86,125,173,189,76,83,92
717979,6,65535,66,144,99,78,227,195,137,149,50,85,126,174,186,76,85,91
718007,7,65535,65,147,98,80,228,195,134,150,48,86,126,173,187,76,82,91
718035,7,65535,67,145,96,81,231,193,136,151,48,85,126,171,187,75,82,91
718063,7,65535,66,147,101,81,232,197,135,152,51,87,126,174,186,75,82,91
718091,7,65535,66,146,98,83,229,198,136,151,52,87,127,174,185,74,83,90
718119,9,65535,65,147,101,80,229,198,136,151,49,85,126,172,188,77,83,91
718147,7,65535,65,147,101,80,228,200,136,152,51,86,124,173,186,76,84,92
718176,7,65535,64,146,100,81,229,195,136,151,51,87,127,171,187,74,83,91
718204,8,65535,67,146,100,80,227,197,136,151,50,87,126,171,189,78,83,92
718232,7,65535,65,147,100,79,223,199,137,148,50,85,125,174,187,75,82,91
718260,8,65535,66,148,95,80,231,197,138,149,51,86,125,174,189,75,84,91
718288,7,65535,63,148,96,78,229,192,139,148,50,87,125,175,190,77,84,92
718316,7,65535,65,148,96,77,233,195,137,148,52,84,131,177,193,76,85,95
718344,7,65535,65,146,99,82,227,197,139,148,50,86,129,178,191,74,85,95
718372,5,65535,64,150,99,82,231,198,139,152,51,87,132,179,194,77,83,94
718400,6,65535,64,146,98,81,230,200,138,151,51,86,129,174,193,76,84,94
718428,5,65535,61,147,100,80,225,198,136,150,50,88,129,175,188,75,84,93
718456,6,65535,64,148,98,79,226,198,135,149,50,87,126,173,187,75,84,93
718484,6,65535,67,146,98,78,223,197,133,150,49,84,125,171,186,73,83,92
718513,6,65535,65,148,100,80,225,199,136,151,49,84,125,171,187,77,83,92
718541,6,65535,65,149,102,80,223,200,134,149,50,85,125,171,185,75,84,91
718569,5,65535,64,145,98,82,224,199,134,147,50,84,125,169,185,72,82,90
718597,5,65535,64,147,99,81,226,199,139,148,53,85,121,171,187,77,83,92
718625,6,65535,65,146,97,83,225,195,137,146,51,85,124,171,186,76,83,91
718653,5,65535,65,149,101,83,231,199,137,147,50,84,125,172,187,75,82,92
718681,5,65535,64,149,100,81,228,201,136,149,49,85,125,173,187,76,83,91
718709,7,65535,66,148,102,82,232,203,137,152,49,84,125,174,187,77,83,92
718737,6,65535,67,149,100,79,227,201,136,151,49,85,125,172,185,75,84,93
718765,6,65535,65,144,100,81,228,199,135,151,51,84,124,169,188,73,83,90
718794,6,65535,64,145,98,80,223,197,135,151,49,85,124,167,185,76,82,89
718822,8,65535,65,149,100,80,226,196,134,151,51,85,123,170,185,75,81,91
718850,7,65535,65,145,100,82,225,200,131,151,49,85,125,169,184,76,82,90
718878,5,65535,65,144,97,78,227,199,133,153,49,86,125,168,183,74,81,90
718906,7,65535,64,145,97,80,225,197,133,152,50,84,123,168,185,75,82,89
718934,6,65535,66,145,100,80,221,196,131,150,50,82,124,169,184,74,82,91
718962,6,65535,65,146,98,79,225,200,132,151,49,85,124,171,187,74,82,92
718990,5,65535,66,145,100,80,223,197,133,147,48,83,126,174,187,75,83,90
719018,5,65535,64,148,100,80,222,200,132,149,48,84,126,169,186,75,83,91
719046,7,65535,62,146,99,78,221,196,131,148,48,84,123,167,184,75,82,92
719074,6,65535,66,147,102,81,223,199,133,151,48,85,122,167,185,75,80,89
719103,7,65535,64,147,96,80,223,201,134,151,49,82,125,166,186,74,80,89
719131,7,65535,66,146,99,80,226,199,134,151,49,83,126,173,187,76,82,92
719159,6,65535,65,147,100,82,228,195,137,151,48,84,126,170,188,70,82,91
719187,7,65535,65,144,103,83,229,196,133,150,50,86,126,171,186,75,81,89
719215,6,65535,68,145,102,81,231,200,134,150,49,85,126,173,188,76,81,92
719243,5,65535,67,146,101,83,229,200,136,150,48,85,125,171,189,77,83,92
719271,4,65535,64,147,100,80,226,198,137,151,50,85,125,174,190,75,83,94
719299,4,65535,65,144,97,81,230,196,135,150,49,86,128,174,191,75,83,93
719327,5,65535,64,146,99,83,227,197,137,151,51,85,125,174,190,76,84,91
719355,4,65535,66,144,97,80,222,194,133,152,51,85,126,171,189,76,84,93
719383,4,65535,65,145,97,83,226,196,133,151,50,84,126,173,189,74,83,92
719412,5,65535,63,147,100,82,231,197,135,148,50,85,126,173,189,77,83,92
719440,5,65535,62,144,99,82,231,200,137,152,50,87,124,175,189,76,84,94
719468,5,65535,66,147,99,81,228,197,135,153,49,86,125,174,189,75,83,90
719496,6,65535,66,144,99,80,223,195,134,151,50,86,129,171,187,76,83,90
719524,5,65535,67,145,99,82,225,200,134,150,51,85,125,171,187,77,83,92
