timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
1377141,2,65535,78,177,117,94,268,238,161,187,73,104,159,211,238,95,105,119
1377169,0,65535,79,177,117,98,269,236,161,186,75,104,157,211,236,94,104,115
1377197,1,65535,79,180,117,95,266,235,150,187,71,103,157,211,236,96,106,115
1377225,1,65535,78,178,119,93,268,235,148,190,75,103,158,212,235,94,103,112
1377253,1,65535,78,177,116,94,268,235,150,186,74,103,154,205,232,97,103,114
1377282,2,65535,75,180,116,94,275,232,172,180,70,100,156,214,239,97,103,115
1377310,3,65535,74,176,115,100,292,224,168,178,72,98,162,222,245,97,106,116
1377338,2,65535,74,178,118,106,304,226,173,179,70,100,164,225,241,95,103,112
1377366,0,65535,79,180,119,105,302,228,171,178,70,99,163,225,243,99,104,115
1377394,0,65535,76,180,119,109,303,228,174,178,70,100,161,228,242,96,107,115
1377422,0,65535,75,180,117,106,307,231,173,178,70,100,164,229,244,97,105,118
1377450,1,65535,78,179,121,106,310,228,177,178,69,102,162,229,244,98,103,114
1377478,1,65535,77,178,119,109,315,229,174,176,70,99,163,229,244,97,104,116
1377506,1,65535,79,180,120,107,314,232,175,178,74,98,164,229,246,99,103,115
1377534,1,65535,77,179,120,108,312,232,172,176,68,99,162,228,243,98,102,114
1377562,1,65535,77,179,120,109,311,230,174,177,70,98,161,230,243,96,104,116
1377590,0,65535,77,179,119,106,316,231,171,177,71,100,164,229,246,98,105,116
1377619,0,65535,74,179,119,109,312,230,173,179,70,99,163,233,244,98,103,115
1377647,1,65535,78,183,122,107,312,228,174,179,70,100,163,229,245,96,104,116
1377675,1,65535,79,179,122,107,309,229,175,176,70,100,160,231,245,96,105,114
1377703,1,65535,75,178,120,108,317,229,176,177,70,100,164,229,246,99,104,117
1377731,1,65535,75,180,120,108,313,230,172,177,71,100,165,232,247,96,106,118
1377759,2,65535,78,180,121,108,312,232,175,178,71,101,164,231,248,95,104,116
1377787,1,65535,78,183,121,107,312,234,174,177,71,101,163,231,245,95,103,116
1377815,1,65535,76,181,122,108,314,227,174,176,71,99,164,229,244,96,103,117
1377843,2,65535,76,180,122,107,315,230,177,179,69,97,163,230,244,96,103,115
1377871,2,65535,77,181,121,106,313,232,172,177,71,99,162,229,247,97,103,116
1377899,2,65535,81,180,121,110,309,232,179,179,67,100,163,229,244,99,105,113
1377928,2,65535,75,180,126,107,313,228,175,178,70,98,162,224,243,97,103,114
1377956,2,65535,74,179,119,109,315,230,175,176,70,99,162,231,243,94,103,114
1377984,2,65535,77,178,122,107,311,230,172,177,71,98,163,225,245,93,103,115
1378012,1,65535,76,178,120,109,316,235,176,178,70,101,163,226,245,97,101,113
1378040,2,65535,76,181,120,110,313,236,174,178,68,98,162,228,245,95,104,116
1378068,2,65535,76,182,123,109,316,234,175,172,69,99,161,229,240,98,104,118
1378096,1,65535,77,180,121,110,310,233,174,175,69,99,161,224,241,95,104,117
1378124,3,65535,78,181,121,108,310,233,174,173,68,99,165,228,244,97,104,117
1378152,3,65535,77,180,120,106,309,231,175,178,70,99,161,228,244,94,103,115
1378180,3,65535,77,180,119,108,312,229,174,174,73,101,160,227,243,94,103,113
1378208,2,65535,77,181,120,105,310,231,172,176,70,99,162,228,243,95,104,115
1378237,1,65535,75,181,121,108,309,232,174,174,68,100,164,227,243,96,103,116
1378265,3,65535,77,181,120,105,312,230,174,177,68,99,164,230,243,100,104,117
