timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
3557407,0,65535,125,280,170,148,412,334,273,273,140,156,276,373,401,148,150,172
3557435,0,65535,107,255,154,129,374,314,260,264,118,136,234,322,367,145,144,166
3557463,0,65535,110,251,155,129,372,314,261,261,119,134,233,323,366,146,142,167
3557491,0,65535,108,254,155,129,373,308,260,257,117,136,233,321,365,145,142,163
3557519,0,65535,105,252,155,132,376,298,264,243,111,129,227,320,358,145,144,166
3557548,0,65535,99,249,151,135,395,290,273,232,106,125,228,330,363,149,143,169
3557576,1,65535,97,257,155,146,408,299,283,226,108,123,231,336,366,148,145,168
3557604,1,65535,100,259,153,143,414,297,279,221,105,122,229,340,362,146,143,165
3557632,0,65535,99,263,156,142,415,295,278,224,105,119,223,333,357,146,147,170
3557660,0,65535,98,258,159,145,417,298,279,234,108,122,230,331,357,147,149,173
3557688,0,65535,99,260,158,145,421,310,291,249,112,128,238,341,369,152,153,177
3557716,0,65535,102,268,164,146,433,330,297,256,114,131,250,350,384,152,154,180
3557744,0,65535,108,281,170,149,446,346,305,258,114,135,254,359,401,155,157,182
3557772,1,65535,114,290,178,157,463,354,308,260,118,137,264,377,406,155,159,184
3557800,1,65535,118,290,186,161,471,352,311,266,120,142,272,387,413,154,160,184
3557828,1,65535,115,285,185,166,483,359,317,267,122,142,271,396,416,152,163,188
3557856,1,65535,117,284,189,167,480,362,317,271,122,143,274,401,421,159,161,188
3557884,1,65535,118,291,189,166,485,373,322,270,124,145,281,398,425,158,164,194
3557913,1,65535,120,303,190,164,472,350,299,240,125,144,282,398,414,158,158,182
3557941,1,65535,106,275,166,139,404,308,271,218,111,124,226,322,348,149,145,171
3557969,3,65535,97,260,158,139,402,303,275,217,105,121,225,322,354,149,147,174
3557997,2,65535,95,262,160,136,404,296,274,224,107,119,224,324,355,149,147,170
3558025,1,65535,92,261,155,136,401,297,272,219,106,121,221,323,360,148,147,166
3558053,2,65535,95,260,156,134,394,298,272,220,105,120,227,323,355,144,144,166
3558081,2,65535,98,261,154,137,399,297,271,216,103,120,225,323,353,147,144,164
3558109,2,65535,95,260,154,137,404,300,273,218,105,120,221,321,350,144,144,167
3558137,3,65535,94,262,159,137,405,308,274,228,107,123,224,321,356,147,144,172
3558165,3,65535,100,261,161,139,420,315,285,239,111,127,233,336,369,149,149,176
3558193,3,65535,105,267,166,146,430,325,296,248,118,134,244,349,385,151,151,176
3558221,2,65535,108,268,173,152,449,331,303,260,123,138,250,364,401,153,153,180
3558249,2,65535,111,275,172,155,468,344,314,256,122,141,256,376,408,152,157,182
3558277,2,65535,115,278,178,158,481,345,322,259,124,143,265,382,410,154,159,186
3558306,2,65535,114,279,183,169,506,344,326,263,129,145,271,392,416,156,160,189
3558334,3,65535,115,277,182,168,501,342,313,255,125,147,274,399,419,155,155,180
3558362,1,65535,102,267,160,140,418,313,278,239,117,131,231,328,352,147,141,166
3558390,1,65535,101,258,159,139,406,332,276,242,109,125,220,319,344,146,142,171
3558418,2,65535,105,259,165,143,409,331,276,234,109,126,221,316,352,148,144,167
3558446,1,65535,108,260,173,146,414,307,277,231,112,126,221,317,353,145,144,169
3558474,2,65535,100,261,167,152,418,301,278,229,108,128,225,318,352,148,144,168
3558502,2,65535,101,259,157,145,413,300,279,223,109,123,226,316,353,144,145,169
3558530,2,65535,98,260,160,140,415,301,280,225,109,124,223,323,359,148,142,165
3558558,1,65535,99,256,156,142,417,297,279,224,111,125,220,326,354,148,142,168
3558586,2,65535,101,257,157,142,419,310,280,232,110,127,221,324,356,146,143,166
3558614,2,65535,101,264,161,145,428,323,287,239,110,128,227,332,362,150,149,172
3558642,1,65535,103,270,168,147,444,327,292,249,117,130,237,338,369,148,156,183
3558671,2,65535,108,272,178,153,453,339,300,258,118,134,248,350,383,153,165,191
3558699,2,65535,111,277,179,159,462,344,312,262,121,138,268,370,408,152,165,205
3558727,2,65535,117,284,180,162,481,354,319,258,120,142,287,401,437,156,168,201
3558755,2,65535,117,289,185,169,493,347,327,264,122,143,292,420,454,156,166,199
3558783,2,65535,117,285,183,172,502,349,324,270,124,145,290,433,450,160,166,197
3558811,1,65535,119,282,181,169,503,361,325,268,123,145,285,429,446,161,166,196
3558839,2,65535,120,284,190,172,499,364,327,265,124,146,287,424,442,164,170,198
3558867,2,65535,121,284,181,164,464,320,291,228,124,143,272,393,404,156,153,180
3558895,3,65535,95,260,156,141,413,292,278,220,109,123,230,328,360,149,147,171
3558923,2,65535,98,258,152,137,410,293,275,221,106,123,229,326,357,149,147,171
3558951,2,65535,93,259,150,135,416,300,279,226,109,124,231,338,366,146,149,172
3558979,2,65535,97,264,156,138,425,317,287,231,110,127,235,346,374,148,150,175
3559007,2,65535,103,273,165,146,438,323,296,237,113,131,248,360,384,151,153,177
3559036,2,65535,105,278,173,152,460,336,304,238,115,134,252,373,396,154,154,181
3559064,3,65535,107,270,175,155,473,338,310,241,114,135,258,383,408,157,154,180
3559092,2,65535,108,271,178,156,479,341,312,255,120,135,259,387,410,158,158,187
3559120,3,65535,111,274,178,158,482,349,311,260,124,139,263,394,417,158,162,190
3559148,3,65535,114,277,184,160,483,348,321,268,125,147,272,392,420,159,159,192
3559176,3,65535,118,282,182,161,488,350,324,266,128,144,278,400,425,160,162,190
3559204,2,65535,121,286,183,168,503,359,305,272,129,149,277,415,427,161,165,189
3559232,3,65535,114,273,170,149,437,315,282,225,121,138,254,356,372,150,149,171
3559260,3,65535,100,262,158,140,415,308,279,223,107,123,223,322,350,147,148,167
3559288,2,65535,99,262,162,141,410,305,275,225,110,121,226,329,353,145,148,171
3559316,3,65535,97,257,158,139,409,305,276,220,105,125,233,327,358,146,145,170
3559344,3,65535,97,257,158,141,407,299,277,218,106,121,230,330,357,146,148,170
3559372,3,65535,95,256,156,135,414,296,278,218,108,122,230,336,365,150,146,167
3559400,2,65535,96,257,154,136,408,294,272,215,106,121,226,329,355,147,143,164
3559429,2,65535,94,256,151,134,407,303,274,223,108,123,225,326,356,149,144,170
3559457,2,65535,98,260,159,137,418,307,283,227,109,125,225,332,360,149,148,171
3559485,2,65535,99,261,166,141,427,320,290,234,113,130,237,342,376,151,151,178
3559513,3,65535,105,264,166,147,445,332,297,243,114,135,247,356,389,154,153,182
3559541,3,65535,107,272,171,150,459,335,308,254,124,136,256,370,400,151,158,184
3559569,2,65535,109,273,177,156,475,339,316,265,125,144,267,385,407,153,161,186
3559597,2,65535,116,278,179,157,486,348,324,269,128,146,273,393,419,154,159,189
3559625,2,65535,116,282,181,162,490,352,327,266,125,147,273,404,420,159,159,186
3559653,2,65535,117,282,176,158,464,322,293,225,122,140,256,378,387,154,147,167
3559681,3,65535,102,260,160,144,420,301,274,220,106,122,217,318,345,148,142,163
3559709,3,65535,99,261,158,140,409,297,274,215,106,118,217,313,340,147,141,169
3559737,2,65535,94,261,154,136,401,299,269,222,106,121,215,313,342,146,143,165
3559765,3,65535,95,266,155,137,399,300,271,226,107,121,216,315,345,146,145,169
3559794,3,65535,98,260,155,133,395,300,272,230,107,123,221,314,347,147,145,166
3559822,3,65535,100,252,157,136,402,301,277,222,106,122,224,323,350,147,142,166
3559850,3,65535,101,248,158,136,411,295,277,222,107,120,223,324,354,148,144,167
3559878,3,65535,99,246,156,142,416,301,279,225,105,123,224,324,353,146,144,169
3559906,3,65535,99,252,161,143,421,312,281,230,107,120,226,332,358,146,145,170
3559934,2,65535,103,259,160,148,432,323,287,232,108,124,233,340,371,151,148,177
3559962,2,65535,107,269,174,150,443,328,292,239,111,130,242,358,386,151,153,180
