timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
833081,30,65535,77,75,191,30,111,167,35,56,125,246,105,66,93,160,106,154
833109,30,65535,80,78,196,32,115,172,38,58,130,254,107,68,92,168,108,161
833137,32,65535,80,76,198,32,119,173,37,61,130,259,109,68,96,166,110,164
833165,36,65535,85,86,219,39,120,189,36,58,142,286,110,68,95,164,107,162
833193,43,62832,89,91,216,44,122,188,40,60,140,283,115,68,98,171,112,164
833221,45,61722,88,97,209,49,126,192,45,63,132,278,120,67,97,176,109,158
833249,46,59708,91,107,214,53,132,183,49,66,134,262,127,68,95,180,104,160
833277,46,59824,98,108,224,56,140,176,49,70,142,250,129,71,94,182,109,161
833305,49,59679,98,102,221,51,138,182,53,71,131,232,122,71,97,180,107,168
833334,47,58702,101,98,209,51,126,167,48,66,128,222,122,67,87,181,101,156
833362,47,58798,102,99,210,51,131,168,49,65,129,220,118,66,85,178,103,163
833390,46,59951,98,99,222,50,132,172,48,65,131,241,118,70,93,171,107,161
833418,48,61161,95,104,218,50,132,174,48,70,136,250,118,68,92,172,103,153
833446,46,62376,96,106,225,55,134,184,49,67,137,259,126,67,91,197,103,151
833474,46,63089,99,102,227,58,136,184,48,69,143,250,119,72,92,193,113,167
833502,48,61481,98,106,226,64,141,186,53,68,140,256,119,69,97,176,117,162
833530,47,62205,99,120,228,61,149,188,54,71,145,263,122,70,94,176,108,157
833558,47,63248,103,111,247,65,152,211,57,74,154,284,125,68,97,178,107,164
833586,47,60794,105,112,252,65,149,217,57,77,156,280,125,68,94,181,103,165
833614,46,63792,104,112,250,65,155,213,54,75,158,275,122,70,93,185,107,164
833642,45,63863,100,97,231,54,142,195,50,70,138,257,119,69,93,169,101,163
833671,45,64435,96,97,216,54,132,189,50,67,129,234,123,66,89,178,101,149
833699,44,63178,94,99,212,57,133,179,51,70,137,227,124,70,87,179,102,156
833727,43,63816,97,102,219,55,139,186,50,68,139,249,115,71,92,173,106,160
833755,44,64199,95,102,219,53,135,188,47,66,135,258,112,70,96,168,104,155
833783,44,64370,96,100,219,51,129,183,45,62,128,242,117,64,92,168,102,150
833811,46,64160,98,99,214,54,128,176,50,66,128,222,118,63,84,179,100,155
