timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
769494,8,65535,62,71,172,24,108,150,31,51,131,233,105,68,94,150,108,137
769522,8,65535,64,68,174,25,108,158,33,55,134,246,106,70,100,154,112,138
769550,8,65535,69,79,198,31,116,181,33,56,147,281,115,68,106,157,112,141
769578,7,65535,68,75,203,36,121,192,37,55,147,302,116,68,110,158,113,143
769606,9,65535,68,77,205,42,120,199,38,60,144,315,127,67,108,168,107,141
769634,10,65535,70,82,192,46,123,186,42,63,143,288,134,68,100,180,104,148
769662,13,65535,73,93,197,54,132,174,46,69,147,268,139,74,99,196,109,158
769690,18,65535,78,100,212,64,141,186,55,74,159,283,152,78,107,206,118,169
769719,28,65535,83,102,234,61,153,201,55,80,164,296,141,82,110,206,124,186
769747,33,65535,78,92,206,46,134,177,45,70,146,266,120,73,97,179,113,168
769775,38,65535,76,91,205,49,123,181,42,60,140,274,132,71,98,183,110,160
769803,42,65535,78,95,203,54,128,171,47,67,141,253,135,73,94,199,110,167
769831,55,65535,80,95,214,52,134,180,48,70,152,265,124,76,99,191,120,176
769859,66,65535,78,97,222,49,133,194,45,66,150,294,115,76,108,179,114,174
769887,72,65535,80,92,219,51,131,191,40,63,145,285,127,66,103,168,112,158
769915,78,65535,81,96,210,55,125,186,46,66,145,267,130,69,94,185,103,160
769943,84,65535,85,95,214,54,136,187,47,70,157,270,122,75,100,181,110,166
769971,87,65535,87,101,233,54,141,202,47,68,155,294,131,75,108,185,115,163
769999,86,65535,88,104,227,56,142,202,48,69,158,288,132,71,104,195,110,163
770028,88,65535,89,99,237,54,146,209,47,72,162,298,128,76,107,197,118,172
770056,90,65535,88,100,236,54,141,212,46,68,160,307,135,74,113,187,121,169
770084,87,65535,87,103,226,59,139,201,53,70,157,300,143,71,107,207,117,166
770112,89,65535,88,102,234,56,147,207,48,79,170,298,133,81,107,203,121,188
770140,91,65535,86,98,243,50,144,218,48,67,164,319,132,77,116,188,124,179
