timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
8094205,10,65535,71,202,117,100,286,231,169,165,65,92,150,214,239,108,102,118
8094233,10,65535,75,204,116,100,293,233,171,166,66,90,153,219,244,109,101,118
8094261,10,65535,76,205,117,101,293,233,176,165,65,92,155,221,245,109,104,119
8094289,10,65535,72,207,117,102,294,238,172,170,65,95,156,224,246,109,104,121
8094317,10,65535,75,199,115,94,265,214,176,153,65,89,145,201,225,103,97,110
8094345,9,65535,68,189,107,94,262,214,178,154,60,83,138,195,223,103,96,109
8094374,9,65535,69,190,109,93,263,212,176,153,60,85,137,198,222,104,95,110
8094402,10,65535,69,190,107,90,262,213,177,152,60,89,137,198,223,106,96,113
8094430,10,65535,68,190,108,90,263,215,175,150,61,85,138,196,223,102,94,111
8094458,10,65535,67,188,109,91,259,212,176,153,58,83,136,198,223,104,94,111
8094486,9,65535,68,191,111,92,262,215,177,153,61,84,139,198,222,103,96,111
8094514,9,65535,69,189,109,90,262,216,179,155,59,86,139,198,223,103,97,113
8094542,8,65535,70,192,110,95,268,220,181,158,61,87,142,202,230,104,98,114
8094570,9,65535,73,198,111,97,274,220,183,161,64,87,145,207,231,106,100,114
8094598,9,65535,71,199,110,95,278,224,182,160,65,91,146,209,233,106,101,116
8094626,9,65535,73,200,114,97,280,227,165,163,65,92,150,212,237,105,101,116
8094654,9,65535,73,202,116,97,285,230,168,164,65,93,152,215,239,108,101,118
8094682,8,65535,74,204,116,100,288,232,173,165,68,93,153,217,239,106,103,116
8094711,9,65535,77,206,120,100,291,235,174,167,68,94,155,220,246,109,105,119
8094739,9,65535,76,207,116,100,272,221,181,155,70,95,151,209,232,104,100,113
8094767,9,65535,68,191,108,91,258,216,178,154,62,86,138,198,223,105,97,114
8094795,9,65535,67,191,108,88,259,215,178,158,63,87,139,199,225,106,96,113
8094823,9,65535,66,188,109,89,254,217,177,156,63,87,138,198,224,107,99,113
8094851,10,65535,70,189,111,88,258,216,176,156,63,88,139,197,227,106,97,113
8094879,10,65535,69,187,107,89,256,215,177,153,62,89,138,197,223,106,97,116
8094907,8,65535,66,190,105,88,252,215,178,156,62,86,141,198,226,104,98,117
8094935,9,65535,68,189,105,88,258,216,178,155,64,88,142,200,227,105,100,114
8094963,9,65535,68,190,108,90,260,219,179,159,63,89,146,203,231,107,100,114
8094991,9,65535,71,192,110,89,264,224,183,162,66,91,147,208,237,109,100,119
8095019,9,65535,74,194,110,93,267,225,186,160,68,95,152,211,238,107,101,121
8095048,9,65535,70,198,112,97,269,226,187,166,67,93,154,217,242,109,102,120
8095076,8,65535,74,199,112,97,273,230,189,169,69,92,156,220,246,110,103,120
8095104,7,65535,74,203,113,95,280,234,193,172,70,97,159,225,251,110,106,123
8095132,8,65535,74,204,115,97,281,238,195,173,69,98,158,228,249,111,107,119
8095160,8,65535,76,205,117,97,284,238,193,173,71,100,162,229,252,114,110,123
8095188,8,65535,73,197,108,88,253,221,180,160,69,93,150,208,236,109,100,115
8095216,9,65535,71,192,104,85,255,218,159,164,66,92,148,209,235,109,102,116
8095244,8,65535,71,191,105,88,254,220,159,167,72,93,148,205,236,109,104,119
8095272,9,65535,70,193,106,84,251,220,159,166,67,93,148,209,235,107,101,116
8095300,9,65535,70,194,105,87,253,222,156,164,68,93,148,206,233,108,103,117
8095328,9,65535,72,193,107,86,254,221,156,166,69,94,149,206,233,107,102,116
8095357,8,65535,73,195,106,87,257,226,158,168,71,96,149,209,234,107,103,117
8095384,9,65535,72,199,109,88,257,226,161,171,70,94,152,208,237,107,103,116
8095413,8,65535,74,202,108,90,265,232,165,172,72,97,151,213,242,108,103,122
8095441,9,65535,74,206,111,93,268,232,165,174,73,97,155,217,242,109,105,120
8095469,8,65535,78,208,113,90,272,236,171,176,72,97,156,220,246,111,105,121
8095497,7,65535,77,212,113,94,271,240,169,180,72,99,159,222,248,109,108,121
8095525,8,65535,74,215,114,94,276,245,170,185,72,101,158,222,250,112,105,122
8095553,9,65535,78,218,115,96,279,248,173,187,76,100,161,226,252,111,108,121
8095581,9,65535,82,217,117,98,279,248,173,189,77,103,165,226,255,109,107,120
8095609,8,65535,80,217,117,94,266,233,161,175,77,100,158,217,240,107,102,114
8095637,8,65535,71,205,105,88,256,228,155,176,70,93,145,206,234,108,101,119
8095665,8,65535,72,205,107,90,255,227,158,174,70,93,145,204,229,108,101,114
8095693,5,65535,72,207,106,87,258,230,158,176,71,93,147,203,232,106,102,112
8095722,9,65535,73,203,106,90,258,228,158,174,70,94,148,201,230,105,102,114
8095750,9,65535,71,202,107,90,256,231,158,176,72,95,148,202,230,107,103,113
8095778,9,65535,71,202,106,91,257,230,157,173,70,94,147,204,229,105,101,114
8095806,9,65535,74,201,106,87,255,232,159,177,69,94,147,198,229,107,102,118
8095834,8,65535,73,205,107,92,262,232,161,176,74,96,150,204,233,108,104,116
8095862,9,65535,75,208,109,93,264,237,163,176,72,96,151,206,236,109,104,116
8095890,10,65535,74,207,111,94,266,240,165,180,74,96,152,208,235,107,104,117
8095918,9,65535,75,210,112,96,270,242,164,177,75,96,154,213,238,109,107,116
8095946,8,65535,74,211,114,95,273,243,168,181,75,98,155,211,240,106,103,117
8095974,9,65535,77,208,114,98,276,247,167,181,74,99,155,212,242,108,104,119
8096002,9,65535,76,214,113,99,278,250,167,187,77,97,158,213,243,109,108,122
8096030,9,65535,79,213,115,96,269,235,160,174,77,100,158,210,234,107,103,114
8096058,10,65535,70,200,108,88,256,235,156,172,71,91,146,200,225,104,102,114
8096086,9,65535,72,200,105,90,256,232,158,171,72,95,148,199,223,107,102,115
8096115,9,65535,73,200,104,92,259,230,158,173,71,93,146,194,225,103,102,113
8096143,8,65535,73,199,106,91,256,227,155,172,71,90,145,195,224,105,101,115
8096171,9,65535,70,199,106,90,257,228,156,171,71,91,144,198,225,106,102,115
8096199,9,65535,70,195,107,92,257,226,154,171,71,93,142,196,223,106,100,113
8096227,9,65535,70,198,104,91,257,225,154,169,70,90,145,196,222,104,100,113
8096255,9,65535,68,197,106,93,261,225,155,169,70,92,143,195,223,104,101,115
8096283,9,65535,70,196,107,92,261,226,154,171,71,91,143,197,222,104,102,116
8096311,10,65535,72,198,111,91,263,232,156,174,69,94,144,199,224,106,101,116
8096339,10,65535,72,199,111,95,270,232,160,176,71,95,147,202,226,106,103,117
8096367,9,65535,75,198,111,94,271,231,160,177,73,95,146,200,225,106,103,115
8096395,9,65535,73,199,115,97,273,233,162,174,72,94,148,202,227,107,103,117
8096423,9,65535,74,201,113,100,277,237,163,174,70,94,149,206,233,106,104,115
8096452,9,65535,75,202,115,101,278,237,164,178,73,96,150,208,236,107,104,116
8096480,10,65535,78,201,119,102,283,240,169,179,72,93,151,209,233,106,105,118
