timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
4320438,10,65535,58,130,84,71,210,176,127,136,52,83,123,175,198,90,85,100
4320466,10,65535,56,131,86,72,216,175,129,133,53,82,123,177,198,90,84,99
4320494,10,65535,54,133,81,72,218,174,133,131,50,80,124,175,196,91,86,100
4320522,10,65535,57,135,84,73,216,173,138,132,50,82,125,175,194,93,86,104
4320550,10,65535,57,139,87,74,216,170,139,130,49,81,126,174,192,92,83,101
4320578,11,65535,57,136,87,74,215,168,140,139,49,80,122,171,196,90,88,103
4320606,12,65535,53,135,86,76,223,167,134,136,53,79,125,174,195,92,91,102
4320634,11,65535,60,132,84,74,230,173,132,137,58,81,126,171,198,88,94,105
4320662,13,65535,57,133,82,75,220,180,138,141,61,89,132,173,200,93,96,106
4320690,12,65535,57,136,91,75,222,175,146,137,64,89,139,179,206,93,96,109
4320718,13,65535,61,135,88,78,245,172,150,146,62,91,144,194,216,96,99,111
4320747,15,65535,60,129,89,80,253,175,151,137,60,89,143,196,217,93,95,111
4320775,14,65535,62,132,88,79,262,174,150,134,60,88,146,197,222,94,93,109
4320803,13,65535,59,130,88,82,258,175,149,136,58,87,141,200,222,98,95,109
4320831,16,65535,59,132,88,81,254,181,143,131,54,83,136,194,215,95,94,106
4320859,12,65535,57,134,90,77,238,174,139,131,57,82,136,189,215,95,91,107
4320887,15,65535,54,135,84,74,228,174,143,134,56,83,136,188,215,97,91,108
4320915,15,65535,56,135,87,73,232,175,140,131,54,83,137,189,213,97,93,107
4320943,13,65535,58,136,85,72,220,178,134,131,52,81,134,187,212,93,88,103
4320971,15,65535,55,139,88,74,223,182,137,135,54,77,129,179,206,94,88,104
4320999,14,65535,58,139,90,75,224,174,139,131,54,83,130,180,205,95,91,103
4321027,15,65535,57,137,85,74,215,178,135,135,55,79,128,176,200,96,88,105
4321056,14,65535,57,132,87,75,223,172,137,138,54,80,127,178,206,94,90,104
4321084,14,65535,57,132,90,75,222,175,139,139,57,84,131,179,206,99,88,106
4321112,15,65535,58,133,87,76,224,184,138,136,54,83,130,176,207,96,85,102
4321140,14,65535,60,132,92,77,230,179,134,134,53,81,126,181,205,94,86,104
4321168,14,65535,59,137,89,76,222,176,135,132,52,81,125,174,198,96,88,105
4321196,15,65535,57,133,89,78,230,179,133,129,55,80,125,173,199,95,89,105
4321224,14,65535,55,130,86,76,219,181,134,130,52,80,126,171,199,94,89,104
