timestamp, proximity1, proximity2, channel1, channel2, channel3, channel4, channel5, channel6, channel7, channel8, channel9, channel10, channel11, channel12, channel13, channel14, channel15, channel16
5086085,10,65535,73,167,110,95,301,219,185,164,82,104,183,250,284,124,122,141
5086113,10,65535,74,166,108,93,297,219,178,164,87,104,181,248,280,124,121,142
5086141,9,65535,73,167,108,95,290,218,173,165,83,104,179,244,277,126,122,143
5086169,9,65535,73,164,107,92,295,221,177,169,84,107,182,249,284,126,123,145
5086198,8,65535,73,163,104,90,296,221,178,173,86,106,183,251,283,123,121,145
5086226,9,65535,75,163,103,94,307,222,184,181,86,106,179,257,289,126,120,136
5086254,9,65535,71,165,105,95,299,215,186,174,82,104,183,264,298,124,118,138
5086282,10,65535,72,173,107,91,290,217,183,171,76,105,188,260,299,124,118,145
5086310,10,65535,74,164,106,94,286,222,176,179,79,107,187,249,297,127,125,140
5086338,10,65535,70,168,106,94,281,213,175,168,81,102,177,246,296,126,119,140
5086366,10,65535,71,164,110,90,297,218,178,169,76,99,176,254,291,127,117,142
5086394,10,65535,70,164,106,100,320,216,192,169,76,101,179,274,314,129,116,142
5086422,10,65535,73,179,116,98,302,225,193,177,74,106,195,272,316,130,121,149
5086450,12,65535,77,174,109,93,315,233,178,183,80,109,192,264,304,129,127,147
5086478,8,65535,73,171,114,95,304,221,195,178,82,107,187,261,294,124,121,141
5086506,12,65535,73,174,107,98,306,225,183,176,85,108,188,259,292,128,125,141
5086535,9,65535,76,168,109,94,296,215,186,179,84,109,186,257,294,127,120,139
5086563,10,65535,74,170,108,94,286,223,178,173,81,105,181,246,292,124,121,139
5086591,11,65535,73,170,108,93,289,220,180,176,82,105,178,254,289,122,118,140
5086619,10,65535,70,176,110,87,276,222,176,166,80,103,175,242,283,122,118,135
5086647,10,65535,69,173,111,90,287,222,171,169,75,102,174,239,276,122,117,139
5086675,12,65535,71,172,104,86,276,223,174,166,74,100,168,237,276,126,118,134
5086703,11,65535,70,173,105,88,294,211,174,166,73,102,171,247,278,122,115,133
5086731,12,65535,68,161,104,90,293,214,184,163,75,100,176,253,285,124,117,136
5086759,10,65535,73,167,106,95,285,212,182,169,74,105,179,247,286,118,117,135
5086787,12,65535,72,169,111,94,285,222,179,170,80,102,178,238,276,122,117,137
5086815,10,65535,70,172,105,92,282,219,172,172,78,101,172,239,272,122,115,133
5086844,12,65535,70,171,112,95,281,222,175,168,78,102,171,238,276,122,113,132
5086872,11,65535,69,167,110,92,286,219,174,167,78,100,170,238,276,121,114,136
5086900,11,65535,70,168,106,90,285,220,176,170,77,100,168,238,280,124,113,132
5086928,12,65535,67,167,109,94,283,216,171,165,76,100,170,239,279,124,113,138
5086956,12,65535,72,169,112,95,283,225,171,172,78,102,169,232,275,129,112,134
5086984,11,65535,70,175,110,94,277,222,169,168,74,101,164,229,268,125,112,132
5087012,13,65535,72,167,110,97,275,230,173,174,76,98,162,227,264,123,113,132
5087040,11,65535,72,169,104,89,275,216,170,171,75,100,164,231,271,120,111,130
5087068,12,65535,69,162,104,90,280,213,165,171,75,101,163,232,269,121,112,136
5087096,12,65535,68,161,106,96,286,214,174,166,74,98,163,234,266,121,109,131
5087124,12,65535,74,168,118,91,270,225,165,172,72,101,162,222,263,120,113,129
5087153,13,65535,71,166,107,91,279,227,163,169,74,100,158,225,264,123,111,129
5087181,12,65535,74,167,111,93,271,219,160,171,72,95,161,222,260,121,108,129
5087209,12,65535,72,166,110,92,271,223,158,168,71,99,157,221,260,118,109,127
5087237,14,65535,74,160,111,93,273,219,169,174,75,97,161,224,259,120,107,129
5087265,12,65535,71,168,108,92,275,220,162,167,72,98,162,227,262,123,108,126
5087293,15,65535,71,159,111,90,272,216,163,169,72,95,159,223,261,121,111,131
5087321,12,65535,71,163,108,90,273,218,163,169,73,98,159,223,263,121,111,127
5087349,12,65535,69,164,110,90,271,215,165,168,73,96,159,227,266,118,108,127
5087377,12,65535,69,164,107,89,274,219,166,165,71,97,161,227,264,120,110,129
5087405,11,65535,70,170,107,86,271,216,168,170,70,97,161,228,263,116,110,124
5087433,15,65535,66,170,105,90,264,220,160,161,70,97,162,220,260,120,111,127
5087461,13,65535,69,170,104,88,261,214,153,165,71,97,161,217,255,119,110,127
5087490,15,65535,69,170,110,95,268,217,151,158,69,95,155,220,258,119,107,124
5087518,13,65535,72,170,109,90,279,228,167,166,70,91,158,230,262,120,107,130
5087546,12,65535,70,166,112,90,275,220,156,169,68,96,160,228,262,121,108,129
5087574,13,65535,67,167,115,91,268,226,164,170,69,98,160,224,258,121,112,129
5087602,13,65535,71,167,107,90,272,225,165,171,70,96,158,224,260,121,112,128
5087630,12,65535,70,165,110,88,268,214,163,167,71,96,157,226,264,119,107,128
5087658,14,65535,70,164,106,93,264,219,163,166,69,94,160,226,267,116,110,128
5087686,13,65535,71,166,105,88,263,214,154,171,69,98,160,224,264,117,108,132
5087714,15,65535,69,166,105,89,263,216,152,162,69,97,157,219,258,117,108,128
5087742,14,65535,66,161,102,90,270,209,161,165,68,93,155,221,257,115,110,129
