,class_name,class_id,pressure,speed
0,BlackPolymer,7,7.0,0.04
1,GreenVelvet,5,13.0,0.05
2,GrayLinen,1,7.0,0.09
3,BeigeCotton,4,13.0,0.06
4,NavyDenim,2,11.0,0.05
5,NavyDenim,2,5.0,0.01
6,BeigeCotton,4,12.0,0.02
7,BlackCotton,6,12.0,0.06
8,BlackPolymer,7,11.0,0.02
9,BlackPolymer,7,12.0,0.02
10,BlackPolymer,7,9.0,0.08
11,GrayLinen,1,14.0,0.06
12,BrownPolymer,3,7.0,0.09
13,GreenVelvet,5,5.0,0.07
14,NavyDenim,2,13.0,0.08
15,BlackPolymer,7,8.0,0.05
16,GreenVelvet,5,5.0,0.01
17,BeigeCotton,4,18.0,0.03
18,BlackPolymer,7,5.0,0.02
19,BlackPolymer,7,13.0,0.08
20,NavyDenim,2,5.0,0.1
21,BlackCotton,6,5.0,0.04
22,BlackPolymer,7,6.0,0.05
23,GreenVelvet,5,13.0,0.06
24,BlackPolymer,7,7.0,0.01
25,NavyDenim,2,14.0,0.01
26,BeigeCotton,4,10.0,0.1
27,GrayLinen,1,6.0,0.08
28,GrayLinen,1,13.0,0.05
29,GrayLinen,1,11.0,0.02
30,BeigeCotton,4,15.0,0.08
31,BeigeCotton,4,9.0,0.06
32,BlackPolymer,7,9.0,0.03
33,BlackPolymer,7,13.0,0.02
34,BeigeCotton,4,10.0,0.05
35,BlackPolymer,7,17.0,0.07
36,GrayLinen,1,12.0,0.07
37,NavyDenim,2,14.0,0.09
38,NavyDenim,2,10.0,0.07
39,BeigeCotton,4,13.0,0.02
40,BlackCotton,6,6.0,0.07
41,NavyDenim,2,14.0,0.08
42,BeigeCotton,4,12.0,0.03
43,BlackCotton,6,14.0,0.1
44,NavyDenim,2,17.0,0.1
45,BlackPolymer,7,14.0,0.05
46,BlackPolymer,7,16.0,0.09
47,GreenVelvet,5,11.0,0.08
48,BeigeCotton,4,16.0,0.01
49,BlackPolymer,7,15.0,0.04
50,BeigeCotton,4,9.0,0.05
51,BlackPolymer,7,5.0,0.1
52,BlackPolymer,7,18.0,0.04
53,GrayLinen,1,12.0,0.06
54,BlackCotton,6,11.0,0.1
55,GrayLinen,1,8.0,0.07
56,BeigeCotton,4,12.0,0.08
57,NavyDenim,2,14.0,0.06
58,NavyDenim,2,17.0,0.09
59,NavyDenim,2,5.0,0.02
